school,student,sex,score1,score2
68125,213,1,64,91.6
68125,214,1,23,73.1
68125,215,1,43,84.2
68125,216,1,73,98.1
68133,5020,1,45,86.1
68133,5023,1,25,71.2
68133,5035,1,34,93.5
68133,5043,1,36,82.4
68133,5056,1,37,78.7
68133,5069,0,46,55.5
68133,5071,0,41,70.3
68133,5087,1,41,88.8
68133,5098,0,38,87.9
68133,5100,0,64,85.1
68133,5104,0,21,50.9
68133,5108,0,30,66.6
68133,5111,1,20,29.6
68133,5112,1,59,90.7
68133,5131,0,29,72.2
68133,5143,0,57,92.5
68133,5163,1,37,85.1
68133,5176,1,27,67.5
68133,5177,1,51,88.8
68133,5183,0,43,79.6
68133,5196,0,23,81.4
68133,5198,1,31,60.1
68133,5202,1,40,91.6
68133,5205,1,36,77.7
68133,5210,1,20,59.2
68133,5220,0,38,86.1
68133,5255,1,40,80.5
68133,5261,1,36,76.8
68133,5270,0,30,70.3
68133,5278,1,60,89.8
68133,5287,0,32,69.4
68133,5288,1,43,91.6
68133,5296,1,51,91.6
68133,5298,0,25,63.8
68137,1,1,18,56.4
68137,2,1,23,55.5
68137,4,1,29,73.1
68137,9,1,20,60.1
68137,11,1,34,63.8
68137,12,1,60,89.8
68137,13,1,44,76.8
68137,14,1,20,58.3
68137,16,1,16,52.7
68137,18,1,41,54.6
68137,22,1,34,85.1
68137,23,1,25,61.1
68137,24,1,51,73.1
68137,25,1,23,75
68137,26,1,18,75.9
68137,27,1,36,69.4
68137,28,1,38,72.2
68137,34,1,13,55.5
68137,38,1,53,82.4
68137,39,1,18,47.2
68137,41,1,18,56.4
68137,42,1,36,83.3
68137,43,1,51,64.8
68137,45,1,18,49
68137,46,1,44,84.2
68137,48,1,27,78.7
68137,49,1,35,61.1
68137,50,1,34,83.3
68137,52,1,23,27.7
68137,54,1,22,54.6
68137,56,1,32,73.1
68137,59,1,59,89.8
68137,62,1,36,69.4
68137,64,1,23,74
68137,65,1,2.5,50
68137,67,1,39,64.8
68137,69,1,23,76.8
68137,70,1,41,67.5
68137,74,1,21,81.4
68137,75,1,14,31.4
68137,77,1,18,60.1
68137,78,1,13,54.6
68137,79,1,7.5,27.7
68137,80,1,4.3,50.9
68137,81,1,23,54.6
68137,82,1,30,80.5
68137,83,1,30,84.2
68137,84,1,14,28.7
68137,85,1,11,27.7
68137,86,1,41,70.3
68137,87,1,39,76.8
68137,91,1,16,76.8
68137,92,1,13,62
68137,96,1,18,32.4
68137,97,1,11,57.4
68137,100,1,11,61.1
68137,101,1,33,72.2
68137,207,0,32,52.7
68137,208,0,25,59.2
68137,209,0,11,37
68137,212,0,34,54.6
68137,214,0,23,51.8
68137,215,0,25,60.1
68137,221,0,48,85.1
68137,222,0,20,73.1
68137,223,0,34,65.7
68137,226,0,32,62.9
68137,228,0,23,43.5
68137,231,0,25,55.5
68137,233,0,30,37
68137,234,0,33,49
68137,237,0,37,69.4
68137,239,0,36,63.8
68137,242,0,18,42.5
68137,243,0,27,57.4
68137,251,0,41,67.5
68137,255,0,36,62
68137,258,0,23,61.1
68137,261,0,46,89.8
68137,264,0,50,70.3
68137,268,0,15,43.5
68137,272,0,43,78.7
68137,273,0,35,60.1
68201,3,0,82,92.5
68201,5,1,79,88.8
68201,11,1,50,71.2
68201,14,0,60,61.1
68207,7,1,32,58.3
68207,84,1,25,41.6
68207,101,1,23,62.9
68207,126,1,26,57.4
68217,1,0,41,70.3
68217,3,0,37,43.5
68217,16,0,31,44.4
68217,71,1,49,95.3
68217,75,1,32,74
68217,83,1,20,76.8
68217,87,1,30,88.8
68217,94,1,36,72.2
68217,100,1,43,84.2
68217,101,1,41,82.4
68217,106,1,45,73.1
68217,110,1,26,86.1
68217,112,1,50,87
68217,114,1,32,85.1
68217,118,1,30,74
68217,121,1,48,94.4
68217,125,1,38,62
68227,3,0,56,76.8
68227,13,0,60,79.6
68227,15,0,39,76.8
68227,20,0,35,70.3
68227,21,0,38,76.8
68227,28,0,50,61.1
68227,30,0,36,10.1
68227,44,0,36,70.3
68227,46,0,41,87
68227,50,0,46,57.4
68227,55,0,41,62.9
68227,80,1,44,70.3
68227,84,1,40,62
68227,123,1,32,76.8
68233,405,1,30,78.7
68233,408,0,37,43.5
68233,422,0,39,67.5
68233,428,0,51,67.5
68233,434,0,32,44.4
68233,436,0,41,65.7
68233,438,1,23,47.2
68233,440,1,32,74
68233,441,1,65,92.5
68233,442,1,35,58.3
68233,444,1,66,90.7
68233,448,1,25,41.6
68233,455,0,33,39.8
68233,457,0,14,23.1
68233,466,1,27,50
68233,467,1,60,85.1
68233,469,1,41,51.8
68233,470,1,37,55.5
68233,471,1,43,88.8
68233,473,1,31,60.1
68233,480,0,38,47.2
68233,484,0,35,50
68233,487,0,35,64.8
68233,490,1,45,85.1
68233,498,1,73,89.8
68233,501,1,18,68.5
68233,652,1,43,71.2
68233,921,0,58,50
68233,1052,1,30,52.7
68237,7,0,48,67.5
68237,11,1,48,83.3
68237,18,0,55,62.9
68237,32,1,61,87
68237,36,1,60,99
68237,41,1,55,86.1
68237,42,1,38,82.4
68237,62,0,49,77.7
68237,71,1,46,73.1
68237,73,0,56,75.9
68237,75,0,46,80.5
68237,84,0,48,65.7
68237,87,0,53,86.1
68237,110,0,46,74
68237,126,0,49,72.2
68237,128,0,46,92.5
68237,129,1,59,65.7
68237,134,0,41,74
68237,153,1,61,87
68237,158,1,38,66.6
68237,162,0,53,78.7
68237,164,1,39,52.7
68237,178,1,43,66.6
68237,185,1,46,90.7
68237,188,0,66,77.7
68237,197,0,51,81.4
68237,208,1,71,94.4
68237,212,0,52,87
68241,1004,1,53,88.8
68241,1012,1,48,76.8
68241,1020,1,61,70.3
68241,1031,1,53,87
68241,1032,1,53,90.7
68241,1056,1,46,59.2
68241,1066,1,33,63.8
68241,1070,1,49,58.3
68241,1072,1,41,79.6
68241,1073,1,53,74
68241,1074,1,39,75.9
68241,1076,0,49,46.2
68241,1095,0,70,86.1
68241,1117,0,56,75.9
68255,1,0,38,50.9
68255,2,0,55,84.2
68255,6,0,48,86.1
68255,9,0,46,78.7
68255,10,0,55,87.9
68255,24,0,53,93.5
68255,28,0,68,95.3
68255,35,0,65,80.5
68255,43,0,43,78.7
68255,53,0,62,84.2
68255,56,0,51,78.7
68255,63,0,51,83.3
68255,67,0,66,98.1
68255,70,1,50,90.7
68255,79,1,61,88.8
68255,83,1,53,94.4
68255,89,1,61,80.5
68255,98,1,60,92.5
68255,102,1,53,88.8
68255,106,1,43,90.7
68255,110,1,58,75.9
68255,116,1,55,85.1
68255,118,1,53,92.5
68271,48,1,31,62.9
68271,75,1,44,56.4
68271,90,1,36,49
68271,102,0,25,41.6
68271,141,0,45,62
68271,160,1,36,89.8
68271,169,1,43,84.2
68271,170,0,56,89.8
68271,241,1,36,79.6
68271,246,1,36,73.1
68303,9,0,44,63.8
68303,18,0,67,85.1
68303,31,0,55,58.3
68303,32,0,60,83.3
68303,49,1,45,42.5
68303,50,0,41,54.6
68303,63,0,48,71.2
68303,64,1,62,84.2
68303,86,1,46,69.4
68303,93,1,40,67.5
68303,96,0,56,65.7
68303,100,0,71,95.3
68303,101,0,48,85.1
68303,106,0,37,67.5
68303,110,1,51,84.2
68303,113,0,67,69.4
68303,117,0,48,61.1
68303,120,0,35,51.8
68303,128,1,32,55.5
68303,138,1,57,79.6
68303,141,1,43,57.4
68303,153,0,50,39.8
68303,157,1,55,75
68303,161,1,43,54.6
68303,167,1,28,62
68303,168,1,53,79.6
68303,169,1,36,66.6
68303,175,0,52,62
68303,176,1,63,69.4
68303,178,0,65,76.8
68303,192,1,56,63.8
68303,193,0,55,73.1
68303,195,0,56,60.1
68303,197,0,59,65.7
68303,199,0,46,56.4
68321,5001,1,51,78.7
68321,5005,1,41,83.3
68321,5021,1,51,77.7
68321,5023,0,43,97.2
68321,5031,0,64,97.2
68321,5033,0,57,91.6
68321,5034,1,31,73.1
68321,5035,1,48,83.3
68321,5040,0,43,73.1
68321,5041,1,39,58.3
68321,5042,0,68,63.8
68321,5053,0,40,69.4
68321,5058,0,39,82.4
68321,5059,1,55,73.1
68321,5067,0,52,72.2
68321,5080,1,41,81.4
68321,5082,1,56,87
68321,5083,0,60,78.7
68321,5089,0,48,76.8
68321,5092,1,41,85.1
68321,5093,0,38,43.5
68321,5094,0,46,61.1
68321,5097,1,48,94.4
68321,5098,1,65,88.8
68321,5099,0,50,78.7
68321,5106,1,60,77.7
68321,5107,1,51,60.1
68321,5125,1,60,92.5
68321,5128,0,61,79.6
68321,5130,1,51,74
68321,5131,0,81,96.2
68321,5133,0,59,97.2
68321,5137,1,59,72.2
68321,5140,1,59,84.2
68321,5144,1,53,70.3
68321,5150,1,53,85.1
68321,5151,1,60,83.3
68321,5152,1,46,83.3
68321,5153,0,68,88.8
68329,8,0,44,62.9
68329,103,1,53,79.6
68329,128,1,40,91.6
68329,133,0,43,75
68329,156,1,55,92.5
68329,163,1,50,89.8
68405,5011,0,51,95.3
68405,5023,1,67,73.1
68405,5026,1,65,87.9
68405,5028,0,55,89.8
68405,5035,1,76,95.3
68405,5045,1,51,67.5
68405,5063,1,53,64.8
68405,5074,0,41,63.8
68405,5080,1,34,79.6
68405,5090,0,56,77.7
68405,5091,1,65,90.7
68405,5092,0,61,84.2
68405,5097,1,48,93.5
68405,5104,1,66,74
68405,5113,1,50,86.1
68405,5116,1,48,77.7
68405,5119,1,66,87.9
68405,5140,1,75,81.4
68405,5145,1,64,84.2
68405,5146,0,55,86.1
68405,5166,1,66,62
68405,5183,1,52,77.7
68405,5184,1,45,92.5
68405,5193,1,44,70.3
68405,5194,1,55,71.2
68405,5209,0,55,55.5
68405,5214,1,49,68.5
68405,5215,0,59,96.2
68405,5223,1,71,84.2
68405,5226,1,32,75.9
68411,1,1,39,70.3
68411,2,1,30,41.6
68411,3,0,46,56.4
68411,4,1,44,55.5
68411,7,1,31,55.5
68411,15,1,49,66.6
68411,20,0,59,81.4
68411,21,1,48,60.1
68411,22,1,46,74
68411,27,1,32,37
68411,32,0,29,45.3
68411,34,1,65,50
68411,36,1,14,19.4
68411,37,0,52,47.2
68411,39,1,31,65.7
68411,42,1,53,71.2
68411,47,1,29,58.3
68411,51,0,49,76.8
68411,56,1,43,50.9
68411,59,1,52,76.8
68411,60,0,26,38.8
68411,63,1,34,64.8
68411,66,0,38,58.3
68411,67,1,30,69.4
68411,72,1,34,68.5
68411,77,1,34,74
68411,83,1,20,30.5
68411,88,1,55,75.9
68411,90,1,32,62
68411,99,1,30,68.5
68411,101,1,62,79.6
68411,102,0,46,46.2
68411,103,1,41,64.8
68411,111,0,59,65.7
68411,112,0,30,42.5
68411,119,1,63,83.3
68411,122,0,38,48.1
68411,124,1,41,62.9
68411,138,0,41,38.8
68411,139,1,49,74
68411,141,1,36,67.5
68411,145,1,16,32.4
68411,151,0,35,60.1
68411,152,0,41,64.8
68411,154,1,28,52.7
68411,155,0,38,61.1
68411,156,1,26,58.3
68411,164,0,53,78.7
68411,165,1,46,64.8
68411,169,0,40,67.5
68411,170,0,48,76.8
68411,172,1,43,68.5
68411,176,0,36,58.3
68411,178,0,67,38.8
68411,179,0,58,70.3
68411,181,1,38,56.4
68411,182,0,23,23.1
68411,188,1,45,60.1
68411,193,1,36,56.4
68411,194,1,44,59.2
68411,195,1,43,75
68411,197,1,33,61.1
68411,200,0,50,72.2
68411,207,1,41,52.7
68411,209,1,22,50
68417,5000,1,30,71.2
68417,5001,1,34,76.8
68417,5002,1,70,89.8
68417,5004,0,50,81.4
68417,5009,1,32,58.3
68417,5011,0,63,80.5
68417,5013,1,55,81.4
68417,5017,0,38,79.6
68417,5022,0,33,78.7
68417,5024,1,34,71.2
68417,5025,0,45,67.5
68417,5029,0,41,59.2
68417,5034,1,41,70.3
68417,5035,1,49,75.9
68417,5043,0,45,78.7
68417,5047,0,50,70.3
68417,5052,0,64,62.9
68417,5053,0,71,89.8
68417,5054,0,78,87.9
68417,5058,1,30,70.3
68417,5061,0,46,84.2
68417,5062,0,49,60.1
68417,5066,1,53,88.8
68417,5068,0,45,53.7
68417,5069,0,43,80.5
68417,5070,0,66,89.8
68417,5071,0,60,89.8
68417,5072,1,43,45.3
68417,5074,1,62,78.7
68417,5077,1,43,77.7
68417,5079,0,66,92.5
68417,5080,0,57,67.5
68417,5083,1,40,59.2
68417,5087,0,64,70.3
68417,5090,1,69,83.3
68417,5092,1,48,87.9
68417,5093,0,67,81.4
68417,5095,1,56,42.5
68417,5097,0,57,75
68417,5098,0,68,67.5
68531,6,1,68,74
68531,12,1,41,61.1
68531,32,0,63,68.5
68531,35,1,64,86.1
68531,68,0,56,39.8
68531,77,1,41,67.5
68531,95,1,67,78.7
68531,118,1,44,74
68531,126,1,59,94.4
68531,137,1,57,79.6
68531,154,1,48,87.9
68531,190,0,65,83.3
68531,192,1,53,85.1
68531,193,1,43,72.2
68531,211,1,55,81.4
68611,2,0,43,59.2
68611,15,0,41,51.8
68611,41,1,31,65.7
68611,47,1,35,59.2
68611,49,1,34,67.5
68611,50,1,43,80.5
68611,52,1,16,68.5
68611,53,1,31,54.6
68611,54,1,44,70.3
68629,22,0,43,84.2
68629,24,0,59,72.2
68629,25,0,53,73.1
68629,32,1,39,75
68629,44,0,76,91.6
68629,48,0,49,61.1
68629,52,1,53,69.4
68629,60,1,34,85.1
68629,62,1,53,81.4
68629,81,0,43,44.4
68629,82,1,43,79.6
68629,98,0,55,38.8
68629,102,0,50,85.1
68629,106,1,55,83.3
68629,108,1,41,68.5
68629,110,0,61,87.9
68629,115,0,59,81.4
68629,124,0,55,70.3
68629,139,1,50,98.1
68629,143,1,49,85.1
68629,156,0,48,51.8
68629,162,0,37,62.9
68629,176,1,56,82.4
68629,189,0,65,70.3
68711,17,1,30,55.5
68711,66,1,30,37
68711,75,1,37,55.5
68711,79,0,55,58.3
68711,182,1,41,70.3
68711,188,0,44,45.3
68711,225,0,46,32.4
68723,5107,1,48,77.7
68723,5121,1,37,52.7
68723,5122,1,37,63.8
68723,5322,0,52,62.9
68723,5516,1,50,73.1
68805,1,1,62,98.1
68805,12,0,64,96.2
68805,17,0,44,76.8
68805,27,0,62,96.2
68805,33,1,38,77.7
68805,41,1,60,89.8
68805,44,0,40,86.1
68805,61,0,60,86.1
68805,65,1,35,86.1
68805,66,1,32,54.6
68805,74,1,46,74
68805,76,1,51,99
68805,77,1,22,57.4
68805,78,0,45,66.6
68805,80,0,61,68.5
68805,83,0,65,93.5
68805,88,1,34,74
68805,96,0,48,90.7
68805,98,1,34,83.3
68805,99,0,52,78.7
68805,107,0,55,77.7
68805,115,1,37,85.1
68805,120,0,53,95.3
68805,133,0,65,89.8
68805,143,0,53,94.4
68805,146,0,33,79.6
68805,148,1,72,96.2
68809,1,0,43,75
68809,5,0,59,65.7
68809,7,0,44,60.1
68809,9,0,46,72.2
68809,10,1,28,73.1
68809,13,1,39,79.6
68809,14,1,25,59.2
68809,17,0,35,86.1
68809,23,1,44,69.4
68809,25,0,50,54.6
68809,30,0,46,75.9
68809,31,1,40,78.7
68809,32,0,40,60.1
68809,33,1,39,59.2
68809,36,1,61,91.6
68809,39,0,32,60.1
68809,42,0,55,77.7
68809,43,1,34,71.2
68809,44,0,53,68.5
68809,45,1,39,75
68809,46,1,43,67.5
68809,47,0,53,63.8
68809,57,0,64,87
68809,61,1,23,57.4
68809,66,1,52,86.1
68809,67,0,53,77.7
68809,72,1,36,75
68809,75,0,37,72.2
68809,76,1,41,64.8
68809,77,1,39,76.8
68809,78,0,39,62.9
68809,84,1,27,73.1
68809,89,1,74,92.5
68809,92,1,27,81.4
68809,93,1,31,70.3
68809,97,0,41,72.2
68809,98,0,36,57.4
68809,100,1,33,68.5
68809,102,0,40,72.2
68809,103,1,61,78.7
68809,105,0,30,74
68809,107,1,38,63.8
68809,110,1,51,85.1
68809,113,1,58,81.4
68809,116,0,55,75.9
68809,118,1,26,61.1
68809,120,0,36,70.3
68809,121,1,30,62.9
68809,123,0,43,48.1
68809,125,1,53,75.9
68809,129,1,79,93.5
68809,132,1,69,96.2
68809,133,1,25,74
68809,134,1,32,45.3
68809,138,0,60,67.5
68809,139,1,38,59.2
68809,140,1,55,93.5
68809,141,0,34,47.2
68809,146,1,27,70.3
68809,148,0,30,41.6
68809,149,1,38,80.5
71927,10,0,40,67.5
71927,19,1,46,66.6
71927,23,0,53,68.5
71927,26,1,53,75
71927,43,0,39,67.5
71927,53,1,36,71.2
71927,59,1,35,62
71927,79,1,38,69.4
71927,83,1,31,68.5
71927,96,1,22,63.8
71927,97,0,38,59.2
71927,110,1,55,77.7
71927,121,0,55,73.1
71927,128,0,44,68.5
71927,145,0,55,69.4
71927,151,0,37,62.9
74330,14,0,46,57.4
74330,116,0,41,47.2
74330,173,1,43,68.5
74330,208,1,53,75.9
74862,305,0,61,87.9
74862,309,0,35,47.2
74862,310,0,51,75
74862,323,0,14,52.7
74862,324,0,48,48.1
74862,329,0,37,56.4
74862,332,0,52,68.5
74862,334,1,50,73.1
74862,347,0,49,75.9
74862,353,0,56,53.7
74862,360,0,73,92.5
74862,371,1,51,75.9
74862,375,1,57,87
74862,379,1,46,64.8
74862,383,1,46,75.9
74862,387,1,55,82.4
74862,397,1,34,60.1
74862,403,1,51,66.6
74862,406,1,38,90.7
74862,407,1,35,58.3
74862,415,1,67,85.1
74862,418,0,68,84.2
74862,427,1,60,93.5
74862,428,1,66,93.5
74862,436,1,43,78.7
74862,437,1,43,67.5
74862,446,0,39,78.7
74862,448,0,44,80.5
74862,458,1,46,87
74862,460,1,36,62.9
74862,462,1,46,78.7
74862,463,1,55,95.3
74862,469,0,25,48.1
74862,471,1,45,46.2
74874,35,1,55,91.6
74874,48,1,62,92.5
74874,49,0,60,86.1
74874,50,1,28,80.5
74874,51,1,22,80.5
74874,58,1,52,88.8
74874,60,1,48,91.6
74874,63,1,60,96.2
74874,64,1,50,83.3
74874,66,1,57,87.9
74874,69,1,53,85.1
74874,72,0,49,85.1
74874,73,1,40,87
74874,76,1,46,83.3
74874,82,1,43,93.5
74874,84,0,37,73.1
76531,1,0,64,48.1
76531,30,1,36,62
76531,49,1,61,64.8
76531,53,0,38,62.9
76531,95,1,23,46.2
76631,4,1,39,65.7
76631,6,1,43,69.4
76631,12,0,45,55.5
76631,23,1,41,81.4
76631,29,1,37,78.7
76631,56,1,40,84.2
76631,76,1,51,79.6
76631,86,1,61,72.2
76631,88,1,51,88.8
76631,100,1,32,70.3
76631,106,0,43,78.7
76631,109,1,55,83.3
76631,119,0,44,31.4
76631,125,0,43,69.4
76631,130,0,38,81.4
76631,133,1,49,87.9
76631,139,0,58,78.7
76631,150,0,50,82.4
76631,155,1,57,76.8
76631,161,0,38,84.2
76631,165,1,36,81.4
76631,185,1,52,79.6
76631,201,1,40,92.5
76631,202,1,57,99
76631,206,0,46,38.8
76631,212,1,90,96.2
76631,223,1,53,75.9
76631,250,0,45,69.4
77207,5002,1,34,74
77207,5004,1,34,60.1
77207,5005,0,35,78.7
77207,5008,1,35,81.4
77207,5013,1,28,68.5
77207,5018,0,33,86.1
77207,5019,1,23,62.9
77207,5025,1,27,62.9
77207,5031,1,40,61.1
77207,5037,1,34,65.7
77207,5038,0,31,79.6
77207,5041,0,36,62.9
77207,5042,1,40,69.4
77207,5043,0,27,64.8
77207,5044,1,25,75.9
77207,5055,1,27,64.8
77207,5059,0,37,74
84707,5,1,60,87.9
84772,7,1,56,90.7
84772,12,1,58,72.2
84772,24,1,61,94.4
84772,27,1,65,91.6
84772,29,0,53,67.5
84772,31,1,58,90.7
84772,48,1,65,82.4
84772,52,0,62,77.7
84772,58,0,55,83.3
84772,63,1,60,97.2
84772,66,1,59,91.6
84772,95,1,65,94.4
84772,104,0,65,60.1
84772,114,0,66,82.4
